Where do you live?	I live in Pasadena.
Yes, we do. Visa, Master Card and American Express.	OK, here's my Visa. What time is it, please?
It's half past three.	Thanks.
You're welcome. Here's your credit card, thank you. Have a nice day!	Thank you, goodbye.
Hi, Katherine, how are you today?	I'm great and you?
VERY busy! I'm jogging now, but later I have to do a lot!	What do you have to do?
Well, first of all, I have to do the shopping. We don't have anything to eat at home.	And then?
Little Johnny has a basketball game this afternoon. I'm driving him to the game.	Oh, how is his team doing?
They're doing very well. Next week, they're travelling to Frascati for a tournament.	That's impressive!
Well, Johnny likes playing basketball. I'm happy he's enjoying it. What are you doing today?	I'm not doing much. I'm meeting some friends for lunch, but, other than that, I don't have much to do today.
You're so lucky!	No, you're the lucky one. I'd like to have so many things to do.
Excuse me. Is there a bank near here?	Yes. There's a bank on the corner.
Thank you.	You're welcome.
Excuse me. Is there a supermarket near here?	Yes. There's one near here.
How do I get there?	At the traffic lights, take the first left and go straight on. It's on the left.
Is it far?	Not really.
Thank you.	Don't mention it.
Excuse me. Is there a hospital near here?	Yes. There's a hospital straight ahead, after the first traffic lights.
Is it far?	Just 500 hundred meters. It's on the right.
Thank you.	You're welcome.
Good evening. Can I help you?	Yes, please. I'd like a room for the night.
Would you like a single room, or a double room?	A single room, please. How much is the room?
It's $55 per night.	Can I pay by credit card?
Certainly. We take Visa, Master Card and American Express. Could you fill in this form, please?	Do you need my passport number?
No, just an address and your signature.	Here you are.
Here's your key. Your room number is 212.	Thank you.
Thank you.	Thank you. If you need anything, dial 0 for the reception area. Have a good stay!	Hello, my name is Peter Browns.
Hello, my name is Peter Browns.	Hey, how are you? I'm Mary.	My name's Peter. What's yours?
Hey, how are you? I'm Mary.	My name's Peter. What's yours?
My name's Peter. What's yours?	I'm David.
That's a great tie. Where did you get it?	I'm originally from New York, but I just moved here a week ago. Are you from around here?
Say, where's the best place to grab some hamburgers?	Burger King's hamburger eh? What's your favorite dish there?
Oh, you got that tie from Lotus? They've really improved their stores lately.	So you're originally from England. Do you ski?
It has been a pleasure meeting you. I look forward to seeing you again.	Sounds like you know a lot about this city. Maybe you could show me around sometime?
Sounds like you know a lot about this city. Maybe you could show me around sometime?	Well, if you're ever having hamburger, let me know and we can go to lunch.
May I get you anything to drink?	Yes, please. May I get a glass of lemonade?
Would you like an appetizer?	May I get an order of barbeque wings?
Sure, would you like anything else?	That'll be fine for now, thank you.
Tell me when you want to order the rest of your food.	Excuse me. I'm ready to order.
What would you like?	Let me have the baby-back ribs.
Sure, will there be anything else that I can get you?	That will be it for now.
Good Evening MK suki how may I help you?	Hello, I'd like to make a dinner reservation for Sunday.
Certainly, I'd be happy to help you with that. How many people are there in your party?	There'll be five people.
And what time would you like to make a reservation for?	Let's say at six o'clock.
I'm afraid we don't have anything available then. We could seat you at five o'clock or at seven o'clock.	Oh, OK. Let's make the reservation for seven o'clock.
Fine, seven o'clock on Sunday evening for five people. May I have your name?	Yes, it's Roberto
Is that Roberto with an 'e' or an 'o'?	Roberto with an 'e'.
Thank you. Great. I have a table for five for the Roberto party at seven o'clock on Sunday evening.	Thank you very much.
You're welcome. We'll see you on Sunday.	Yes, see you then. Good bye.
Yes, see you then. Good bye.	Good bye.
Excuse me, am sorry to trouble you, but could you tell me how I can get to the train station?	Yes no problem, it's that way. Keeping walking straight ahead then after you pass the library you have to turn left. then take your first right and it's across from the bus station. You cannot miss it!
